N,p_T,mse_K_inner,mse_g_sv
5,0.05,0.005632560512754653,0.0006194461663538329
15,0.05,0.0005185459828459492,5.780887174735667e-07
25,0.005,0.00022216086899401355,2.9191839563964832e-08
35,0.005,0.00013421997260344224,7.326678198072757e-09
45,0.001,0.00010011842296633617,3.047276433869597e-09
55,0.001,8.015024534902706e-05,2.2946681660750125e-09
65,0.001,6.89299105479711e-05,2.0373326244038282e-09
75,0.0005,5.9127249010744924e-05,1.5579506922044077e-09
85,0.0005,5.359782009466303e-05,1.4493450042187363e-09
95,0.0005,4.981691113279511e-05,1.388314342302463e-09
105,0.0005,0.015176658148378548,7.918317390880354e-09
